timestamp,common_name,confidence
12-23-2025 11:41:42,Blue Jay,0.399
12-23-2025 11:41:45,Blue Jay,0.382
12-23-2025 11:41:51,Blue Jay,0.268
12-23-2025 11:42:18,Blue Jay,0.202
12-23-2025 11:42:36,Dunlin,0.265
12-23-2025 12:00:17,House Finch,0.186
12-23-2025 12:00:19,House Finch,0.334
12-23-2025 12:00:22,House Finch,0.578
12-23-2025 12:00:29,House Finch,0.333
12-23-2025 12:00:56,House Finch,0.749
12-23-2025 12:01:08,House Finch,0.5
12-23-2025 12:01:11,House Finch,0.142
12-23-2025 12:01:26,House Finch,0.165
12-23-2025 12:01:29,House Finch,0.251
12-23-2025 12:01:31,House Finch,0.404
12-23-2025 12:01:34,House Finch,0.169
12-23-2025 12:01:38,House Finch,0.155
12-23-2025 12:01:53,House Finch,0.106
12-23-2025 12:02:02,House Finch,0.132
12-23-2025 12:02:23,House Finch,0.112
12-23-2025 12:02:28,House Finch,0.167
12-23-2025 12:08:32,House Finch,0.3
12-23-2025 13:24:03,White-throated Sparrow,0.468
12-23-2025 13:24:34,Rock Pigeon,0.117
12-23-2025 13:29:41,Rock Pigeon,0.239
12-23-2025 13:29:53,Rock Pigeon,0.139
12-23-2025 13:30:05,Rock Pigeon,0.155
12-23-2025 13:30:47,Rock Pigeon,0.382
12-23-2025 13:31:50,Rock Pigeon,0.191
12-23-2025 13:33:29,Blue Jay,0.129
12-23-2025 13:44:49,Blue Jay,0.964
12-23-2025 13:44:52,Blue Jay,0.706
12-23-2025 14:05:41,Tundra Swan,0.153
12-23-2025 14:12:05,House Finch,0.106
12-23-2025 14:12:23,House Finch,0.538
12-23-2025 14:13:17,House Finch,0.128
12-23-2025 14:13:53,House Finch,0.199
12-23-2025 14:20:06,White-breasted Nuthatch,0.106
12-23-2025 14:20:15,White-breasted Nuthatch,0.495
12-23-2025 14:20:43,House Finch,0.151
12-23-2025 14:25:16,White-breasted Nuthatch,0.832
12-23-2025 15:02:20,Black-capped Chickadee,0.13
12-23-2025 15:19:44,House Finch,0.284
12-23-2025 15:19:50,House Finch,0.173
12-23-2025 15:20:08,House Finch,0.247
12-23-2025 15:22:08,Tufted Titmouse,0.375
12-23-2025 15:23:41,Blue Jay,0.231
12-23-2025 15:23:44,Red-tailed Hawk,0.153
12-23-2025 15:23:47,Blue Jay,0.175
12-23-2025 15:23:50,Blue Jay,0.375
12-23-2025 15:23:53,Blue Jay,0.121
12-23-2025 15:23:56,Blue Jay,0.1
12-23-2025 15:24:02,Tufted Titmouse,0.877
12-23-2025 15:25:32,Red-tailed Hawk,0.21
12-23-2025 15:30:24,House Finch,0.276
12-23-2025 15:31:53,Tufted Titmouse,0.331
12-23-2025 15:31:59,Tufted Titmouse,0.679
12-23-2025 15:32:08,Tufted Titmouse,0.64
12-23-2025 15:32:29,Tufted Titmouse,0.564
12-23-2025 15:32:32,Tufted Titmouse,0.442
12-23-2025 15:33:02,House Finch,0.105
12-23-2025 15:33:14,House Finch,0.288
12-23-2025 15:33:23,House Finch,0.15
12-23-2025 16:28:32,White-throated Sparrow,0.161
12-23-2025 17:05:34,Canada Goose,0.122
12-23-2025 17:05:37,Canada Goose,0.63
12-23-2025 17:05:40,Canada Goose,0.266
12-23-2025 17:24:52,Common Loon,0.121
12-23-2025 17:32:16,Common Raven,0.382
12-23-2025 18:42:30,Rock Pigeon,0.238
12-23-2025 19:21:12,Tundra Swan,0.14
12-23-2025 22:12:59,Rock Pigeon,0.165
12-23-2025 22:51:42,Canada Goose,0.191
12-24-2025 04:00:59,Canada Goose,0.367
12-24-2025 04:01:02,Canada Goose,0.45
12-24-2025 04:01:05,Canada Goose,0.781
12-24-2025 04:01:08,Canada Goose,0.401
12-24-2025 04:01:20,Canada Goose,0.255
12-24-2025 04:01:20,Tundra Swan,0.165
12-24-2025 04:01:23,Canada Goose,0.376
12-24-2025 05:55:33,Black Scoter,0.168
12-24-2025 07:10:30,Tufted Titmouse,0.702
12-24-2025 07:11:09,Tufted Titmouse,0.136
12-24-2025 07:11:15,Tufted Titmouse,0.595
12-24-2025 07:11:21,Tufted Titmouse,0.226
12-24-2025 07:12:33,Tufted Titmouse,0.391
12-24-2025 07:12:36,Tufted Titmouse,0.925
12-24-2025 07:12:39,Tufted Titmouse,0.854
12-24-2025 07:12:42,Tufted Titmouse,0.243
12-24-2025 07:12:45,Tufted Titmouse,0.813
12-24-2025 07:12:48,Tufted Titmouse,0.12
12-24-2025 07:12:51,Tufted Titmouse,0.694
12-24-2025 07:12:54,Tufted Titmouse,0.692
12-24-2025 07:12:54,Black-capped Chickadee,0.129
12-24-2025 07:12:57,Tufted Titmouse,0.833
12-24-2025 07:13:00,Tufted Titmouse,0.443
12-24-2025 07:13:00,Black-capped Chickadee,0.103
12-24-2025 07:13:03,Tufted Titmouse,0.721
12-24-2025 07:13:06,Tufted Titmouse,0.879
12-24-2025 07:13:09,Tufted Titmouse,0.751
12-24-2025 07:13:09,Black-capped Chickadee,0.195
12-24-2025 07:13:12,Tufted Titmouse,0.873
